study,scale,guesser,respondent,strata,est,se,df,lower_CI,upper_CI,cgr,cgr_trial_id,model_name,trial_id
mock,scale1,self,self,PLPL,18.33333,0.9914906,116.0,16.36956,20.29711,0.5,0,off_on_m3,11
mock,scale1,self,self,ACPL,18.4,1.086124,116.0,16.2488,20.5512,0.5,0,off_on_m3,11
mock,scale1,self,self,PLAC,25.11111,0.6270737,116.0,23.86911,26.35311,0.5,0,off_on_m3,11
mock,scale1,self,self,ACAC,24.71429,0.649083,116.0,23.4287,25.99988,0.5,0,off_on_m3,11
mock,scale1,self,self,PLPL,17.88889,0.9907846,116.0,15.92652,19.85126,0.5,1,off_on_m3,11
mock,scale1,self,self,ACPL,18.8,1.08535,116.0,16.65033,20.94967,0.5,1,off_on_m3,11
mock,scale1,self,self,PLAC,25.44444,0.6266272,116.0,24.20333,26.68556,0.5,1,off_on_m3,11
mock,scale1,self,self,ACAC,26.45238,0.6486208,116.0,25.16771,27.73706,0.5,1,off_on_m3,11
mock,scale1,self,self,PLPL,17.61111,0.8622562,116.0,15.9033,19.31892,0.5,2,off_on_m3,11
mock,scale1,self,self,ACPL,20.0,0.9445544,116.0,18.12919,21.87081,0.5,2,off_on_m3,11
mock,scale1,self,self,PLAC,24.68889,0.5453387,116.0,23.60878,25.769,0.5,2,off_on_m3,11
mock,scale1,self,self,ACAC,25.47619,0.5644792,116.0,24.35817,26.59421,0.5,2,off_on_m3,11
mock,scale1,self,self,PLPL,20.27778,0.9166949,116.0,18.46215,22.09341,0.5,3,off_on_m3,11
mock,scale1,self,self,ACPL,20.8,1.004189,116.0,18.81108,22.78892,0.5,3,off_on_m3,11
mock,scale1,self,self,PLAC,24.35556,0.5797687,116.0,23.20725,25.50386,0.5,3,off_on_m3,11
mock,scale1,self,self,ACAC,25.42857,0.6001177,116.0,24.23996,26.61718,0.5,3,off_on_m3,11
