study,scale,guesser,respondent,model_type,component,est,se,t,p,cgr,cgr_trial_id,model_name,trial_id
mock,scale1,self,self,without_guess,intercept,23.305084745762716,0.612601696250298,38.04280152734131,4.388600581710675e-68,0.5,0,off_on_m3,6
mock,scale1,self,self,without_guess,conditionAC,0.5801611558766341,0.8592190563056885,0.6752191441971782,0.5008575231453871,0.5,0,off_on_m3,6
mock,scale1,self,self,with_guess,intercept,19.687500000000004,1.0273161599231952,19.16401276260649,9.623432115054937e-38,0.5,0,off_on_m3,6
mock,scale1,self,self,with_guess,conditionAC,0.25367647058823833,1.4313196348433606,0.1772325792316822,0.859634801898386,0.5,0,off_on_m3,6
mock,scale1,self,self,with_guess,guessAC,4.9636627906976765,1.2033609044547933,4.1248330175281565,7.006998575296569e-05,0.5,0,off_on_m3,6
mock,scale1,self,self,with_guess,conditionAC:guessAC,0.5042516478049966,1.6808179164530934,0.3000037320336767,0.7647112490470632,0.5,0,off_on_m3,6
mock,scale1,self,self,without_guess,intercept,22.66101694915254,0.6317843467559858,35.8682785756085,2.6329900292416338e-65,0.5,1,off_on_m3,6
mock,scale1,self,self,without_guess,conditionAC,0.19144206724090118,0.8861241382958706,0.2160442978215994,0.8293262419446387,0.5,1,off_on_m3,6
mock,scale1,self,self,with_guess,intercept,21.124999999999993,1.1904063402304539,17.746041234886526,7.567795177040156e-35,0.5,1,off_on_m3,6
mock,scale1,self,self,with_guess,conditionAC,-0.3014705882352914,1.6585468375590033,-0.18176790754910863,0.8560821179838823,0.5,1,off_on_m3,6
mock,scale1,self,self,with_guess,guessAC,2.1075581395348872,1.3943988288430464,1.5114457183556012,0.13339440716056053,0.5,1,off_on_m3,6
mock,scale1,self,self,with_guess,conditionAC:guessAC,0.7052760850640435,1.9476538796666967,0.3621157190335779,0.7179244013081035,0.5,1,off_on_m3,6
mock,scale1,self,self,without_guess,intercept,23.47457627118644,0.6453815583649767,36.37317485590606,5.794723307495862e-66,0.5,2,off_on_m3,6
mock,scale1,self,self,without_guess,conditionAC,-0.7860516810225057,0.905195230326103,-0.8683780633038962,0.3869501047953071,0.5,2,off_on_m3,6
mock,scale1,self,self,with_guess,intercept,20.875,1.1237418818004696,18.576329972283208,1.4791479275885752e-36,0.5,2,off_on_m3,6
mock,scale1,self,self,with_guess,conditionAC,-2.345588235294117,1.56566584140669,-1.4981410293697772,0.13681297071118245,0.5,2,off_on_m3,6
mock,scale1,self,self,with_guess,guessAC,3.5668604651162816,1.3163104991536814,2.709740952009109,0.007754977899166255,0.5,2,off_on_m3,6
mock,scale1,self,self,with_guess,conditionAC:guessAC,2.1991823156323824,1.8385824754671003,1.1961292707707714,0.23408532369056884,0.5,2,off_on_m3,6
mock,scale1,self,self,without_guess,intercept,23.271186440677965,0.6608482946724905,35.21411287322898,1.922157833059295e-64,0.5,3,off_on_m3,6
mock,scale1,self,self,without_guess,conditionAC,-0.5006946373992759,0.9268884686171721,-0.5401886573756428,0.5900850102545236,0.5,3,off_on_m3,6
mock,scale1,self,self,with_guess,intercept,18.62499999999999,1.135543654691985,16.401835299808003,5.315826455165374e-32,0.5,3,off_on_m3,6
mock,scale1,self,self,with_guess,conditionAC,1.4338235294117725,1.5821087923935129,0.9062736622824747,0.3666696773593191,0.5,3,off_on_m3,6
mock,scale1,self,self,with_guess,guessAC,6.375000000000008,1.3301346680463093,4.792747797005814,4.91775462546296e-06,0.5,3,off_on_m3,6
mock,scale1,self,self,with_guess,conditionAC:guessAC,-2.6156417112299546,1.8578916541754862,-1.4078548150811034,0.16184831441499153,0.5,3,off_on_m3,6
