study,scale,guesser,respondent,contrast,type,est,se,df,t,p,p_adj,cgr,cgr_trial_id,model_name,trial_id
mock,scale1,self,self,PLPLvsPLAC,fixCondition,-1.016908,1.090287,116.0,-0.9326976,0.3529134,0.7873626,0.5,0,off_on_m3,8
mock,scale1,self,self,ACPLvsACAC,fixCondition,-6.357143,1.21024,116.0,-5.252796,6.881347e-07,4.083109e-06,0.5,0,off_on_m3,8
mock,scale1,self,self,PLPLvsACPL,fixGuess,1.793651,1.397465,116.0,1.283504,0.2018738,0.5752504,0.5,0,off_on_m3,8
mock,scale1,self,self,PLACvsACAC,fixGuess,-3.546584,0.8369584,116.0,-4.237467,4.557e-05,0.0002636498,0.5,0,off_on_m3,8
mock,scale1,self,self,PLPLvsPLAC,fixCondition,-4.543478,1.053207,116.0,-4.313947,3.388139e-05,0.0001966268,0.5,1,off_on_m3,8
mock,scale1,self,self,ACPLvsACAC,fixCondition,-7.571429,1.16908,116.0,-6.4764,2.357561e-09,1.410755e-08,0.5,1,off_on_m3,8
mock,scale1,self,self,PLPLvsACPL,fixGuess,1.857143,1.349937,116.0,1.375725,0.1715572,0.5170671,0.5,1,off_on_m3,8
mock,scale1,self,self,PLACvsACAC,fixGuess,-1.170807,0.8084936,116.0,-1.448134,0.150277,0.4722078,0.5,1,off_on_m3,8
mock,scale1,self,self,PLPLvsPLAC,fixCondition,-5.231884,1.250533,116.0,-4.183722,5.600746e-05,0.0003232864,0.5,2,off_on_m3,8
mock,scale1,self,self,ACPLvsACAC,fixCondition,-6.238095,1.388116,116.0,-4.493929,1.664594e-05,9.721012e-05,0.5,2,off_on_m3,8
mock,scale1,self,self,PLPLvsACPL,fixGuess,0.3333333,1.602858,116.0,0.2079618,0.8356235,0.9968023,0.5,2,off_on_m3,8
mock,scale1,self,self,PLACvsACAC,fixGuess,-0.6728778,0.9599713,116.0,-0.7009354,0.484747,0.8965189,0.5,2,off_on_m3,8
mock,scale1,self,self,PLPLvsPLAC,fixCondition,-4.599034,1.220617,116.0,-3.767794,0.0002604298,0.001468517,0.5,3,off_on_m3,8
mock,scale1,self,self,ACPLvsACAC,fixCondition,-7.904762,1.354909,116.0,-5.834166,4.990134e-08,2.977269e-07,0.5,3,off_on_m3,8
mock,scale1,self,self,PLPLvsACPL,fixGuess,3.444444,1.564514,116.0,2.201607,0.02967213,0.1288763,0.5,3,off_on_m3,8
mock,scale1,self,self,PLACvsACAC,fixGuess,0.1387164,0.9370061,116.0,0.1480421,0.8825666,0.998837,0.5,3,off_on_m3,8
