study,scale,guesser,respondent,contrast,type,est,se,df,t,p,p_adj,cgr,cgr_trial_id,model_name,trial_id
mock,scale1,self,self,PLPLvsPLAC,fixCondition,1.950311,1.297209,116.0,1.503467,0.1354364,0.4387464,0.5,0,on_off_m3,22
mock,scale1,self,self,ACPLvsACAC,fixCondition,-1.033784,1.112798,116.0,-0.9289949,0.3548209,0.7893702,0.5,0,on_off_m3,22
mock,scale1,self,self,PLPLvsACPL,fixGuess,-3.787645,1.154634,116.0,-3.280384,0.001369271,0.007386719,0.5,0,on_off_m3,22
mock,scale1,self,self,PLACvsACAC,fixGuess,-6.771739,1.260115,116.0,-5.373906,4.032222e-07,2.396088e-06,0.5,0,on_off_m3,22
mock,scale1,self,self,PLPLvsPLAC,fixCondition,0.8012422,1.177751,116.0,0.6803157,0.4976602,0.9043878,0.5,1,on_off_m3,22
mock,scale1,self,self,ACPLvsACAC,fixCondition,-1.793919,1.010322,116.0,-1.775591,0.07842265,0.2903066,0.5,1,on_off_m3,22
mock,scale1,self,self,PLPLvsACPL,fixGuess,-4.366795,1.048306,116.0,-4.165574,6.002364e-05,0.0003461865,0.5,1,on_off_m3,22
mock,scale1,self,self,PLACvsACAC,fixGuess,-6.961957,1.144073,116.0,-6.08524,1.540012e-08,9.201309e-08,0.5,1,on_off_m3,22
mock,scale1,self,self,PLPLvsPLAC,fixCondition,-2.440994,1.364478,116.0,-1.788957,0.07623152,0.2838594,0.5,2,on_off_m3,22
mock,scale1,self,self,ACPLvsACAC,fixCondition,-2.347128,1.170505,116.0,-2.005227,0.04726683,0.1920141,0.5,2,on_off_m3,22
mock,scale1,self,self,PLPLvsACPL,fixGuess,-7.19305,1.214511,116.0,-5.922592,3.307323e-08,1.974341e-07,0.5,2,on_off_m3,22
mock,scale1,self,self,PLACvsACAC,fixGuess,-7.099185,1.325461,116.0,-5.356012,4.365397e-07,2.593541e-06,0.5,2,on_off_m3,22
mock,scale1,self,self,PLPLvsPLAC,fixCondition,1.65528,1.32622,116.0,1.248118,0.2145012,0.5976762,0.5,3,on_off_m3,22
mock,scale1,self,self,ACPLvsACAC,fixCondition,-1.337838,1.137685,116.0,-1.17593,0.2420307,0.6432099,0.5,3,on_off_m3,22
mock,scale1,self,self,PLPLvsACPL,fixGuess,-7.376448,1.180457,116.0,-6.248806,7.070928e-09,4.227823e-08,0.5,3,on_off_m3,22
mock,scale1,self,self,PLACvsACAC,fixGuess,-10.36957,1.288297,116.0,-8.049051,8.092611e-13,4.892531e-12,0.5,3,on_off_m3,22
