study,scale,guesser,respondent,model_type,component,est,se,t,p,cgr,cgr_trial_id,model_name,trial_id
mock,scale1,self,self,without_guess,intercept,19.058823529411764,0.6154460822212614,30.967495090105803,1.7001395221807702e-58,0.5,0,on_off_m3,7
mock,scale1,self,self,without_guess,conditionAC,7.013640238704178,0.8116262580892756,8.641465414408396,3.174760701616832e-14,0.5,0,on_off_m3,7
mock,scale1,self,self,with_guess,intercept,19.366666666666664,0.7991307485418926,24.2346658566241,3.2427712850918574e-47,0.5,0,on_off_m3,7
mock,scale1,self,self,with_guess,conditionAC,7.453846153846155,1.0629432622928112,7.012459101314505,1.6651010636797078e-10,0.5,0,on_off_m3,7
mock,scale1,self,self,with_guess,guessAC,-0.747619047619047,1.2453553253995497,-0.6003258928363975,0.5494601066853546,0.5,0,on_off_m3,7
mock,scale1,self,self,with_guess,conditionAC:guessAC,-0.9728937728937737,1.637302130138083,-0.5942054035022382,0.5535318444037624,0.5,0,on_off_m3,7
mock,scale1,self,self,without_guess,intercept,18.07843137254902,0.6062672745901713,29.81924331107893,8.895971914753014e-57,0.5,1,on_off_m3,7
mock,scale1,self,self,without_guess,conditionAC,8.023017902813299,0.7995216050472815,10.034773109525714,1.6584361852613542e-17,0.5,1,on_off_m3,7
mock,scale1,self,self,with_guess,intercept,19.199999999999996,0.7707096799727868,24.912104387579422,2.2079048244658663e-48,0.5,1,on_off_m3,7
mock,scale1,self,self,with_guess,conditionAC,7.671794871794872,1.0251397071201256,7.4836579039035245,1.5215051836803343e-11,0.5,1,on_off_m3,7
mock,scale1,self,self,with_guess,guessAC,-2.7238095238095226,1.2010642889694507,-2.2678299145390737,0.025190598577650904,0.5,1,on_off_m3,7
mock,scale1,self,self,with_guess,conditionAC:guessAC,0.9520146520146502,1.5790715136915203,0.6028952101029612,0.5477553029264226,0.5,1,on_off_m3,7
mock,scale1,self,self,without_guess,intercept,17.84313725490196,0.5891129224462065,30.288144386327335,1.74280049594435e-57,0.5,2,on_off_m3,7
mock,scale1,self,self,without_guess,conditionAC,8.287297527706734,0.7768991153723105,10.6671475919177,5.206762749329487e-19,0.5,2,on_off_m3,7
mock,scale1,self,self,with_guess,intercept,18.066666666666666,0.7729506703742801,23.373634772731847,1.0621239344745641e-45,0.5,2,on_off_m3,7
mock,scale1,self,self,with_guess,conditionAC,8.317948717948717,1.0281205030067517,8.090441435243017,6.513594526698106e-13,0.5,2,on_off_m3,7
mock,scale1,self,self,with_guess,guessAC,-0.5428571428571419,1.2045566202753866,-0.4506696768915965,0.6530688814234694,0.5,2,on_off_m3,7
mock,scale1,self,self,with_guess,conditionAC:guessAC,-0.04175824175824308,1.583662975557653,-0.026368136657067966,0.9790090169913682,0.5,2,on_off_m3,7
mock,scale1,self,self,without_guess,intercept,18.70588235294117,0.6448535014613953,29.007956552223224,1.5648805772473353e-55,0.5,3,on_off_m3,7
mock,scale1,self,self,without_guess,conditionAC,7.468030690537087,0.8504076141290915,8.781707226581162,1.495272272677098e-14,0.5,3,on_off_m3,7
mock,scale1,self,self,with_guess,intercept,19.433333333333326,0.8384550828900541,23.177548481606145,2.3788786782689754e-45,0.5,3,on_off_m3,7
mock,scale1,self,self,with_guess,conditionAC,7.182051282051286,1.1152495167021128,6.439860474711721,2.8154381844812817e-09,0.5,3,on_off_m3,7
mock,scale1,self,self,with_guess,guessAC,-1.7666666666666635,1.3066378743286606,-1.3520706091382524,0.17898298134439866,0.5,3,on_off_m3,7
mock,scale1,self,self,with_guess,conditionAC:guessAC,0.7512820512820482,1.717871944917437,0.43733297671274074,0.6626830053308237,0.5,3,on_off_m3,7
