study,scale,guesser,respondent,model_type,component,est,se,t,p,cgr,cgr_trial_id
sbmd,PANAS,self,self,without_guess,intercept,14.798507462686569,0.8740103903380322,16.931729446560812,2.3402576814099304e-42,0.5,0
sbmd,PANAS,self,self,without_guess,conditionAC,0.34290667872757347,1.3408400044792874,0.25574019091169686,0.7983790373157236,0.5,0
sbmd,PANAS,self,self,with_guess,intercept,11.10126582278481,1.060127403622054,10.471633678042835,3.2098444348607397e-21,0.5,0
sbmd,PANAS,self,self,with_guess,conditionAC,2.0116374030216413,1.5987176604178115,1.258281842270959,0.20957123873625824,0.5,0
sbmd,PANAS,self,self,with_guess,guessAC,9.007825086306097,1.6547375237947917,5.443657955884477,1.340561768697394e-07,0.5,0
sbmd,PANAS,self,self,with_guess,conditionAC:guessAC,-3.5801877715720094,2.5631618914426983,-1.3967856589647052,0.1638301994522031,0.5,0
sbmd,PANAS,self,self,without_guess,intercept,14.298507462686567,0.8709088668517904,16.417914671570177,1.157964983286368e-40,0.5,1
sbmd,PANAS,self,self,without_guess,conditionAC,1.034825870646767,1.3360818839681838,0.7745227916520492,0.4394137251588772,0.5,1
sbmd,PANAS,self,self,with_guess,intercept,10.721518987341769,1.0688637899591156,10.030762654754982,7.315149910090322e-20,0.5,1
sbmd,PANAS,self,self,with_guess,conditionAC,3.1655777868517783,1.6118925062689546,1.963888891188617,0.050752854886287745,0.5,1
sbmd,PANAS,self,self,with_guess,guessAC,8.714844649021865,1.6683740228088835,5.223555707460313,3.941271733462238e-07,0.5,1
sbmd,PANAS,self,self,with_guess,conditionAC:guessAC,-4.845184666458657,2.5842846097608643,-1.8748649619157094,0.062084169202830275,0.5,1
sbmd,PANAS,self,self,without_guess,intercept,14.156716417910447,0.8706610240478654,16.259733727476664,3.857477657828476e-40,0.5,2
sbmd,PANAS,self,self,without_guess,conditionAC,1.7422734810794513,1.335701662462812,1.3043881953901206,0.1933993768357419,0.5,2
sbmd,PANAS,self,self,with_guess,intercept,10.924050632911392,1.0741986061943103,10.16948874250853,2.7493617234922314e-20,0.5,2
sbmd,PANAS,self,self,with_guess,conditionAC,3.108207431604738,1.6199376382985102,1.918720423626567,0.05626300264319447,0.5,2
sbmd,PANAS,self,self,with_guess,guessAC,7.875949367088606,1.676701060273216,4.697288952513236,4.545961304414576e-06,0.5,2
sbmd,PANAS,self,self,with_guess,conditionAC:guessAC,-2.8811804045777096,2.597183057273099,-1.109348221146488,0.26844360529196387,0.5,2
sbmd,PANAS,self,self,without_guess,intercept,13.634328358208956,0.8553233022683183,15.94055525209088,4.384653471565741e-39,0.5,3
sbmd,PANAS,self,self,without_guess,conditionAC,0.9414292175486209,1.3121717008434357,0.717458863762639,0.4738158888160344,0.5,3
sbmd,PANAS,self,self,with_guess,intercept,10.493670886075948,1.0259725586813975,10.228022959563992,1.8166826111228623e-20,0.5,3
sbmd,PANAS,self,self,with_guess,conditionAC,0.8772968558595357,1.5472106871909157,0.5670183531709815,0.5712570834496813,0.5,3
sbmd,PANAS,self,self,with_guess,guessAC,7.651783659378596,1.6014257205628415,4.778107133616712,3.162131153637426e-06,0.5,3
sbmd,PANAS,self,self,with_guess,conditionAC:guessAC,0.923194544631865,2.480582763065374,0.3721684107370921,0.7101116376170862,0.5,3
