study,scale,guesser,respondent,strata,est,se,df,lower_CI,upper_CI,cgr,cgr_trial_id
sbmd,PANAS,self,self,PLPL,11.10127,1.060127,229.0,9.012415,13.19012,0.5,0
sbmd,PANAS,self,self,ACPL,13.1129,1.196674,229.0,10.755,15.4708,0.5,0
sbmd,PANAS,self,self,PLAC,20.10909,1.270546,229.0,17.60564,22.61255,0.5,0
sbmd,PANAS,self,self,ACAC,18.54054,1.549069,229.0,15.48829,21.59279,0.5,0
sbmd,PANAS,self,self,PLPL,10.72152,1.068864,229.0,8.615454,12.82758,0.5,1
sbmd,PANAS,self,self,ACPL,13.8871,1.206535,229.0,11.50977,16.26443,0.5,1
sbmd,PANAS,self,self,PLAC,19.43636,1.281016,229.0,16.91228,21.96045,0.5,1
sbmd,PANAS,self,self,ACAC,17.75676,1.561835,229.0,14.67935,20.83416,0.5,1
sbmd,PANAS,self,self,PLPL,10.92405,1.074199,229.0,8.807474,13.04063,0.5,2
sbmd,PANAS,self,self,ACPL,14.03226,1.212557,229.0,11.64306,16.42145,0.5,2
sbmd,PANAS,self,self,PLAC,18.8,1.28741,229.0,16.26332,21.33668,0.5,2
sbmd,PANAS,self,self,ACAC,19.02703,1.56963,229.0,15.93426,22.11979,0.5,2
sbmd,PANAS,self,self,PLPL,10.49367,1.025973,229.0,8.472118,12.51522,0.5,3
sbmd,PANAS,self,self,ACPL,11.37097,1.15812,229.0,9.089035,13.6529,0.5,3
sbmd,PANAS,self,self,PLAC,18.14545,1.229612,229.0,15.72266,20.56825,0.5,3
sbmd,PANAS,self,self,ACAC,19.94595,1.499162,229.0,16.99203,22.89986,0.5,3
